#,T-Shirt Sizing Estimate,Impact to Users,Main Tracker Work Type,Tracker,Status,Priority,Subject,Author,Created,Requirements Complete,Due date,Agile Team Assigned,Product Owner,Target version,Start date,Sprint Number,Hold
178293,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,BDL: Update Fee Collaboration fields once Broker Validates Fees and submit for review (PBC-187),Tiffany Stephenson,07/11/2019 03:50 PM,Yes,08/02/2019,TBD,Swapna Nadkarni,2019-08-09 BDL Release August,"","",No
178301,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,BDL: Update  Broker fee approval status to Ready for Approval once Additional Fee Collab is complete (PBC-187),Tiffany Stephenson,07/11/2019 04:27 PM,Yes,08/02/2019,TBD,Swapna Nadkarni,2019-08-09 BDL Release August,"","",No
178929,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,BDL: Logic update for Broker CD Approval Status field (PBC-187),Tiffany Stephenson,07/19/2019 04:34 PM,Yes,08/09/2019,TBD,Swapna Nadkarni,2019-08-09 BDL Release August,07/19/2019,"",No
179009,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,"PBC - 187: BDL: Add a new field Draft CD Uploaded under PNMAC-Closing  ""Fee Collaboration Review' Section",Tiffany Stephenson,07/22/2019 02:42 PM,Yes,"",TBD,Swapna Nadkarni,2019-08-09 BDL Release August,07/22/2019,"",No
179354,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,New,Medium,CMT 6734: VA Funding Fee and COE Guidance Change,Tiffany Stephenson,07/25/2019 04:43 PM,Yes,"",Trendsetters,TBD,"",07/31/2019,36,No
179645,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,In QA,Medium,RAS 1475 Inaccurate Per Diem Interest - Based on Reg to Auto Check SYS.X8,Tiffany Stephenson,07/30/2019 04:28 PM,Yes,"",Trendsetters,David Few,2019-08-13 Release August,07/30/2019,36,No
180358,Small (13-24hr),4,Lights On Maintenance/BAU/Production Support,Agile Request,In Development,Medium,Custom Form - NBS SSA89,Tiffany Stephenson,08/08/2019 01:31 PM,Yes,"",TBD,Timur Nakonechnyy,2019-08-13 Release August,08/08/2019,,No
180362,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,In UAT,Medium,New CDL Closing Documents Email Template,Tiffany Stephenson,08/08/2019 01:56 PM,No,08/19/2019,TBD,Timur Nakonechnyy,"",08/08/2019,,No
180333,Small (13-24hr),5,Enhancement/New Functionality,Agile Request,In UAT,Urgent,Prod Issue: Value Verify - Re-Run Fees prior to Disclosures,David Few,08/08/2019 10:19 AM,Yes,"",Gladiators,TBD,2019-08-13 Release August,08/08/2019,30,No
180452,Small (13-24hr),5,Enhancement/New Functionality,Agile Request,In Development,Medium,Data Entry Proof Sheet,Tiffany Stephenson,08/09/2019 12:15 PM,Yes,"",TBD,Timur Nakonechnyy,2019 Maintenance August,08/09/2019,,No
177416,Medium (25-60hr),"",Research & Analysis (TICKET ONLY),Agile Request,New,Medium,Research - Issues with LEF File from Encompass,Tiffany Stephenson,06/28/2019 09:24 AM,No,"",,TBD,"",06/28/2019,,No
145819,Medium (25-60hr),2,Enhancement,Agile Request,New,High,"BDL: Add new Broker Loan Status:  ""Broker Disclosure Review""",David Few,04/26/2018 04:49 PM,No,"",,Swapna Nadkarni,BDL: Tavant Future Release 2019,04/26/2018,,Yes
150166,Medium (25-60hr),2,New Functionality,Agile Request,New,High,New Folder in Test environment for Test Configuration and users,Brian Goldberg,07/02/2018 02:56 PM,Yes,"",Trendsetters,David Few,"",07/02/2018,,No
171183,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Contact Info: Texas A6 - Contact and Prepared by Persons,Tiffany Stephenson,04/11/2019 06:49 AM,No,"",,David Few,"",04/11/2019,,No
171217,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Alert for not re-disclosing DC Mortgage Written Commitment letter with revised CD,Tiffany Stephenson,04/11/2019 12:09 PM,No,"",,David Few,"",04/11/2019,,No
180448,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Initial LE vs. 1003 Cash to Close Discrepancy,Tiffany Stephenson,08/09/2019 12:02 PM,No,"",TBD,TBD,"",08/09/2019,,No
173790,Medium (25-60hr),2,Enhancement/New Functionality,Story,In Analysis,Medium,"OB: Total and Base Loan Amount Enhancements,",Swapna Nadkarni,05/09/2019 12:04 PM,No,"","","","",01/18/2019,"",No
165085,Medium (25-60hr),2,Enhancement/New Functionality,Story,In Development,Medium,"OB: Total and Base Loan Amount Enhancements,",Tiffany Stephenson,01/18/2019 02:17 PM,No,"","","",2019 Future Release,01/18/2019,"",No
157787,Medium (25-60hr),2,Enhancement/New Functionality,Story,UAT Approved,High,CO and MN - Net Tangible Benefit Re-disclosure at CIC,Tiffany Stephenson,10/04/2018 04:54 PM,Yes,"","","",2019 Future Release,10/04/2018,"",No
178389,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Review Rules & Enable Payoff Automation for BDL,Tiffany Stephenson,07/12/2019 03:22 PM,Yes,"",Gladiators,Timur Nakonechnyy,"",07/24/2019,100,Yes
179815,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Auto-trigger for Conditions DB when docs are in Borrower - Doc Upload,Tiffany Stephenson,08/01/2019 12:33 PM,Yes,"",Gladiators,TBD,"",08/01/2019,31,No
138693,Medium (25-60hr),2,Enhancement,Agile Request,In Development,High,DC Mortgage Written Commitment UW Condition,Tiffany Stephenson,01/05/2018 01:26 PM,Yes,"",Gladiators,Timur Nakonechnyy,"",01/05/2018,31,No
160764,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,High,Update Doc Placeholders,Tiffany Stephenson,11/13/2018 05:21 PM,No,"",Burning Man,David Few,"",11/13/2018,,No
166567,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Max Cash Back Limits ,Tiffany Stephenson,02/06/2019 04:39 PM,No,"",Burning Man,David Few,"",02/06/2019,,Yes
167741,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,High,Send CD in Lieu - Light Modification BDL,Tiffany Stephenson,02/25/2019 11:52 AM,No,"",Burning Man,David Few,"",02/25/2019,,No
167784,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Update Restructure Routing Logic,Tiffany Stephenson,02/25/2019 04:29 PM,No,"",Burning Man,David Few,"",02/25/2019,,No
167787,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Update CIC logic tied to Optimal Blue,Tiffany Stephenson,02/25/2019 04:44 PM,No,"",Burning Man,David Few,"",02/25/2019,,No
